product_name,description,price,image-src,on_sale_price,platform
Marvel's Spider-Man: Miles Morales Ultimate Edition,"Be Greater. Be Yourself.
In the latest adventure in the Marvel’s Spider-Man universe, teenager Miles Morales is adjusting to his new home while following in the footsteps of his mentor, Peter Parker, as a new Spider-Man. But when a fierce power struggle threatens to destroy his new home, the aspiring hero realizes that with great power, there must also come great responsibility. To save all of Marvel’s New York, Miles must take up the mantle of Spider-Man and own it.
Discover the complete web-slinging story with the Marvel’s Spider-Man: Miles Morales Ultimate Edition. This unmissable bundle includes Marvel’s Spider-Man Remastered – the complete award-winning game, including all three DLC chapters in the Marvel’s Spider-Man: The City That Never Sleeps adventure – remastered and enhanced for PS5™.
Ultimate Edition includes:
 - Marvel's Spider-Man: Miles Morales
 - Marvel's Spider-Man Remastered
The Rise of Miles Morales
Miles Morales discovers explosive powers that set him apart from his mentor, Peter Parker. Master his unique, bio-electric venom blast attacks and covert camouflage power alongside spectacular web-slinging acrobatics, gadgets and skills.
A War for Power
A war for control of Marvel’s New York has broken out between a devious energy corporation and a high-tech criminal army. With his new home at the heart of the battle, Miles must learn the cost of becoming a hero and decide what he must sacrifice for the greater good.
A Vibrant New Home 
Traverse the snowy streets of his new, vibrant and bustling neighborhood as Miles searches for a sense of belonging. When the lines blur between his personal and crime-fighting lives, he discovers who he can trust, and what it feels like to truly be home.",89.99,https://static-ca.gamestop.ca/images/products/756497/3max.jpg,,PS5
Sackboy: A Big Adventure – PlayStation 5,"Stuffed! Stitched! Zipped!
Face thrilling, unpredictable challenges as you explore distinctive hand-crafted lands through deeply immersive and expressive controls.

PERILOUS PLATFORMING EXPERIENCE

Explore here, there and everywhere as you utilise Sackboy’s cool, diverse move-set to face a huge variety of thrilling challenges, fierce enemies and startling surprises.

COLLABORATIVE, CHAOTIC AND JOYFUL MULTIPLAYER

Take on side-splitting challenges in local and online* party play. Parties can play through the whole game – including unmissable co-op only levels.

RE-STUFFED. RE-STITCHED. RE-ZIPPED.

Sackboy returns to the big time stuffed with fresh moves and game-changing gadgets in an awe-inspiring and downright fun 3D adventure in this new, but familiar world.
PS5 Features 

3D Audio
Haptic Feedback
Fast Loading",79.99,https://static-ca.gamestop.ca/images/products/756491/3max.jpg,65.99,PS5
Marvel’s Spider-Man: Miles Morales,"Be Greater. Be Yourself.
In the latest adventure in the Marvel’s Spider-Man universe, teenager Miles Morales is adjusting to his new home while following in the footsteps of his mentor, Peter Parker, as a new Spider-Man. But when a fierce power struggle threatens to destroy his new home, the aspiring hero realizes that with great power, there must also come great responsibility. To save all of Marvel’s New York, Miles must take up the mantle of Spider-Man and own it.

The Rise of Miles Morales
Miles Morales discovers explosive powers that set him apart from his mentor, Peter Parker. Master his unique, bio-electric venom blast attacks and covert camouflage power alongside spectacular web-slinging acrobatics, gadgets and skills.
A War for Power
A war for control of Marvel’s New York has broken out between a devious energy corporation and a high-tech criminal army. With his new home at the heart of the battle, Miles must learn the cost of becoming a hero and decide what he must sacrifice for the greater good.
A Vibrant New Home 
Traverse the snowy streets of his new, vibrant and bustling neighborhood as Miles searches for a sense of belonging. When the lines blur between his personal and crime-fighting lives, he discovers who he can trust, and what it feels like to truly be home.",64.99,https://static-ca.gamestop.ca/images/products/756489/3max.jpg,49.99,PS5
Assassins Creed Valhalla Bilingual,"Upgrade to PlayStation 5 Version: Assassin's Creed Valhalla PlayStation 4 game on Blu-Ray Disc must be kept inserted in a PlayStation 5 console to play the corresponding Assassin's Creed Valhalla PlayStation 5 digital version at no additional cost, when available.
Requires a PlayStation 5, the game Blu-Ray Disc, a PlayStation Network registration, additional storage & Broadband internet connection. May incur bandwidth usage fees.
Become Eivor, a legendary Viking warrior raised on tales of battle and glory. Explore England's Dark Ages as you raid your enemies, grow your settlement, and build your political power in the quest to earn a place among the gods in Valhalla.
FEATURES: 
- Lead epic Viking raids against Saxon troops and fortresses.
- Relive the visceral fighting style of the Vikings as you dual-wield powerful weapons.
- Challenge yourself with the most varied collection of enemies ever in Assassin's Creed.
- Shape the growth of your character and your clan's settlement with every choice you make.
- Explore a Dark Age open world, from the harsh shores of Norway to the beautiful kingdoms of England.
PRE-ORDER OFFER:
Pre-order now for access to the bonus mission The Way of the Berserker.",49.99,https://static-ca.gamestop.ca/images/products/756046/3max.jpg,39.99,PS5
Mortal Kombat 11 Ultimate,"Mortal Kombat 11 Ultimate – PS5
The definitive MK11 experience! Take control of Earthrealm’s protectors in the game’s TWO critically acclaimed, time-bending Story Campaigns as they race to stop Kronika from rewinding time and rebooting history. Friendships are tested, and new alliances forged, in the battle to save all of existence. MK11 Ultimate features the komplete 37-character roster, including new additions Rain, Mileena & Rambo.
Mortal Kombat 11 showcases every amusing friendship, gory fatality and soul-crushing fatal blow like never before. You’ll be so close to the fight, you can feel it!
Includes Mortal Kombat 11, Kombat Pack 1, Aftermath Expansion & Kombat Pack 2.

Experience 2 robust, critically acclaimed Story Campaigns from MK11 & MK11: Aftermath
Play as the komplete 37-character roster including newly added fighters Mileena, Rain & Rambo
Thousands of skins, weapons & gear for an unprecedented level of fighter customization
Includes all previous guest fighters: Terminator, Joker, Spawn & RoboCop
Every mode including Towers of Time, Krypt, Tutorial, Online, Klassic Towers & more
All Stages, Stage Fatalities, Brutalities, Iconic Fatalities & Friendships

Upgrades for PS5™ include:

4K Dynamic Resolution
Enhanced Visuals
Significantly Improved Loading Times
Cross-Platform/Cross-Gen Compatibility",39.99,https://static-ca.gamestop.ca/images/products/757237/3max.jpg,32.99,PS5
Alex Kidd In Miracle World DX | PS5,"The legendary Alex Kidd returns with Alex Kidd in Miracle World DX!
Since his first appearance in 1986 with Alex Kidd in Miracle World, the iconic Alex Kidd makes his return to smash rocks, collect coins and tackle bosses once again in Alex Kidd in Miracle World DX!Return The Kingdom of Radaxian to its former glory and destroy the evil Janken the Great!
Comprising of all levels from the original title as well as brand new levels which expand the lore of Alex Kidd, experience Miracle World like you’ve never seen it before with new animations, graphical detail and gameplay improvements.Relive legendary rock, paper scissors battles with Boss Rush Mode!
As well as including all of the original classic boss fights, Boss Rush Mode will give you the chance to experience none-stop boss action!
Transport straight into the classic with Retro Mode!
Jump straight into the original classic with the press of a button with Retro Mode! At any point during gameplay, switch between the enhanced graphics and a recreation of the original art style!A Legend RebornDive into a stunning recreation of Alex Kidd in Miracle World with striking new art and tighter, more fluid controls.New ModesNew modes such including ‘Classic Mode’ and ‘Boss Rush Mode’ will be available for players alongside the standard game.New LevelsExperience new levels which expand the lore of the original game.Alternative Boss FightsNew and improved boss fight mechanics with more intuitive combat.Classic ModeExperience the original game with boss fights, dialogue, levels and functions the same as the original Master System version.New and remastered musicA wide array of reimagined music tracks as well as remastered tracks from the original classic game!",29.99,https://static-ca.gamestop.ca/images/products/760175/3max.jpg,24.99,PS5
Cris Tales,Experience Past; Present; and Future simultaneously in this gorgeous; indie love letter to classic JRPGs.Cris Tales is a gorgeous; indie love letter to classic JRPGs with a new perspective. Peer into the past; act in the present; and watch as your choices dynamically change the future -- all on one screen as you play! Join the newly awakened Time Mage Crisbell and her fantastical companions on their journey across a dark; fairytale world facing a grim future.Crisbell must embark across Crystallis and the four Kingdoms in a bid to stop the powerful Time Empress and rewrite the future of the world and all those living in it. Along the way; sheâ€™ll meet and recruit powerful allies with their own unique stories and skills like Matias the Frog and Willhelm the Child Mage.As she explores the world and meets her unique companions; Crisbell will have to make choices with far-reaching consequences for the people she meets â€“ consequences that will impact the world youâ€™ll experience in real-time throughout your journey. Each companion will be invaluable as you face these choices and the myriad enemies who stand in your way. Will you buffet them with attacks; or discover creative ways to use Crisbellâ€™s time powers to alter the reality of each fight?Beautifully hand-drawn 2D art is animated frame by frame to bring the branching pasts and futures of each region; enemy; and NPC to life across more than 20 hours of gameplay. Experience a unique combination of branching stories; innovative combat; and classic RPG excitement in Cris Talesâ€™ exciting and unforgettable exploration of how our actions echo through time.A Love Letter to Classic JRPGs â€“ Inspired by timeless JRPGs like Chrono Trigger; Final Fantasy VI; Valkyrie Profile; and modern classics like Bravely Default and Persona 5; meet and recruit a unique cast of teammates; challenge myriad enemies; and make your way through an expansive world.Experience the Past; Present; and Future Simultaneously â€“ Peer into and learn from the past; decide on actions in the present; and alter the course of the future in ways that will reshape the world dynamically depending on the choices you make.Master Strategic Turn-Based Combat â€“ Warp your enemies into the past or future; synchronize attacks for enhanced group abilities; and master the timing of attack and defense to go beyond your partyâ€™s limits in combat.Uncover a Fascinating Story & Characters â€“ The Empressâ€™ plot to destroy the world is complex and layered. Use your wits and recruit powerful allies throughout the world to uncover and undo her multi-faceted web and make your way to the True Ending of this enchanting tale.Discover a Beautiful World â€“ Climb aboard an airship or boat and traverse this handcrafted; dark fairytale world. From the shining kingdom of Crystallis to the slums of Saint Clarity; discover each unique location and shape its future.,29.99,https://static-ca.gamestop.ca/images/products/757521/3max.jpg,,PS5
Yonder: The Cloud Catcher Chronicles,"Yonder is set on the vast island of Gemea, a lush frontier with eight distinct environments ranging from tropical beaches to snow-capped summits. Each location has its own flora and fauna, along with changing seasons and a day-night cycle. Gemea, once a paradise, still maintains the appearance of one, yet an evil murk has enshrouded the land and its people in despair.As the hero you will explore Gemea, uncovering the islands secrets and the mysteries within yourself as you embark on a journey of self-discovery. On a quest to become the island’s champion, you join forces with Sprites, creatures who are the only thing capable of dispersing the murk, to save Gemea and its people.The towns of Gemea are filled with kind-hearted residents who have faced many difficulties since the murk arrived. By contributing to the island through farming, crafting, cooking, fishing and brewing, relationships can be built with the locals, who offer everything from resources to a new farm as rewards.A vibrant open world full of things to discover and places to explore.Set your own pace; trail-blaze across the world or settle down for a spot of quiet fishing and farming.Extensive character customization.Master professions like carpenter, chef, tailor and more to help the residents of Gemea.Craft and trade items to solve puzzles as you banish the murk from the island.Befriend and adopt endearing creatures.Build and harvest multiple farms across 8 diverse biomes, ranging from grasslands through dense forest, Caribbean tropics and more.Set in a welcoming world you'll want to visit again and againMultiple creative routes to achieve objectives.A dynamic living world – seasonal changes affect routes, animals migrate, day/night and evolving weather conditions affect the world.Spend time doing what you want: fishing, farming, crafting, questing, picking up rocks. It’s all up to you!",34.99,https://static-ca.gamestop.ca/images/products/759273/3max.jpg,28.99,PS5
Ghost Of Tsushima Director's Cut,"Ghost of Tsushima DIRECTOR’S CUT includes:  Full Game Iki Island expansion Legends online co-op mode Digital mini art book Director’s commentary One Technique Point Charm of Hachiman’s Favor Hero of Tsushima Skin Set  Experience the Ghost of Tsushima DIRECTOR’S CUT, featuring all additional content released to date.  Uncover the hidden wonders of Tsushima in this open-world action adventure. Forge a new path and wage an unconventional war for the freedom of Tsushima. Challenge opponents with your katana, master the bow to eliminate distant threats and develop stealth tactics to ambush enemies. Explore a new story on Iki Island.  If you already own a PS4 version of Ghost of Tsushima, you can get the PS4 Ghost of Tsushima DIRECTOR’S CUT for a discounted price and you do not need to purchase this product.",89.99,https://static-ca.gamestop.ca/images/products/762138/3max.jpg,69.99,PS5
Far Cry 6 Bilingual,"Welcome to Yara, a tropical paradise frozen in time. As the dictator of Yara, Antón Castillo is intent on restoring his nation back to its former glory by any means, with his son, Diego, following in his bloody footsteps. Their oppressive rule has ignited a revolution.
FEATURES: 

Play as Dani Rojas, a local Yaran, as you fight alongside a modern-day guerrilla revolution to liberate Yara!
Fight against Castillo’s regime in the most expansive Far Cry to date, through jungles, beaches, and Esperanza, the capital city of Yara!
Employ an arsenal of resolver weapons, backpacks, and vehicles to take down Castillo’s ruthless regime.


Experience the brilliant open-world gameplay and explore stunning new terrain in this gripping, first-person shooter video game!

Welcome to Yara, a tropical paradise frozen in time. As the dictator of Yara, Anton Castillo is intent on restoring his nation back to its former glory by any means, with his son, Diego, following in his bloody footsteps. Their oppressive rule has ignited a revolution.
FEATURES: 

Join the revolution as you play as Dani Rojas, a local Yaran, and become a guerrilla fighter to liberate your nation.
Fight against Anton's troops in the largest Far Cry playground to date across jungles, beaches, and Esperanza, the capital city of Yara.
Employ makeshift weapons, vehicles, and animal companions to burn Anton's ruthless regime to the ground.

PRE-ORDER OFFER:
Pre-order now to get a deadly Discos Locos weapon and an outfit for Chorizo.",49.99,https://static-ca.gamestop.ca/images/products/756048/3max.jpg,39.99,PS5
